speaker_id;title;firstname;affix;lastname;role;group
11002190;NA;Alterspräsident Dr. Hermann;NA;Otto Solms;Alterspräsident;NA
11003218;NA;Carsten;NA;Schneider;NA;SPD
11003790;NA;Jan;NA;Korte;NA;DIE LINKE
11003541;NA;Michael;NA;Grosse-Brömer;NA;CDU/CSU
11003764;NA;Britta;NA;Haßelmann;NA;BÜNDNIS 90/DIE GRÜNEN
11001074;NA;Volker;NA;Kauder;NA;CDU/CSU
11001938;Dr.;Wolfgang;NA;Schäuble;NA;CDU/CSU
11003124;Dr.;Hans-Peter;NA;Friedrich;NA;CDU/CSU
11003820;NA;Thomas;NA;Oppermann;NA;SPD
11003206;NA;Petra;NA;Pau;NA;DIE LINKE
11003212;NA;Claudia;NA;Roth;NA;BÜNDNIS 90/DIE GRÜNEN
11004662;Dr.;Bernd;NA;Baumann;NA;AfD
11004023;Dr.;Marco;NA;Buschmann;NA;FDP
11004092;Dr.;Ursula;von der;Leyen;Bundesministerin BMVg;NA
11004226;NA;Wolfgang;NA;Hellmich;NA;SPD
11004842;NA;Jan Ralf;NA;Nolte;NA;AfD
11004798;NA;Alexander Graf;Graf;Lambsdorff;NA;FDP
11004361;Dr.;Alexander S.;NA;Neu;NA;DIE LINKE
11004217;Dr.;Tobias;NA;Lindner;NA;BÜNDNIS 90/DIE GRÜNEN
11004050;NA;Jürgen;NA;Hardt;NA;CDU/CSU
11004438;NA;Gabi;NA;Weber;NA;SPD
11004018;Dr.;Reinhard;NA;Brandl;NA;CDU/CSU
11003755;NA;Sigmar;NA;Gabriel;Bundesminister AA;NA
11004781;NA;Norbert;NA;Kleinwächter;NA;AfD
11003802;NA;Michael Georg;NA;Link;NA;FDP
11003746;NA;Sevim;NA;Dağdelen;NA;DIE LINKE
11004106;NA;Agnieszka;NA;Brugger;NA;BÜNDNIS 90/DIE GRÜNEN
11003821;NA;Henning;NA;Otte;NA;CDU/CSU
11004724;Dr.;Eberhardt Alexander;NA;Gauland;NA;AfD
11003763;NA;Heike;NA;Hänsel;NA;DIE LINKE
11003246;NA;Jürgen;NA;Trittin;NA;BÜNDNIS 90/DIE GRÜNEN
11004048;NA;Florian;NA;Hahn;NA;CDU/CSU
11003055;Dr.;Ralf;NA;Brauksiepe;Parl. Staatssekretär BMVg;NA
11003710;Dr.;Bärbel;NA;Kofler;NA;SPD
11004906;Dr.;Marie-Agnes;NA;Strack-Zimmermann;NA;FDP
11004181;NA;Kathrin;NA;Vogler;NA;DIE LINKE
11004066;NA;Uwe;NA;Kekeritz;NA;BÜNDNIS 90/DIE GRÜNEN
11004357;NA;Elisabeth;NA;Motschmann;NA;CDU/CSU
11004362;Dr.;Andreas;NA;Nick;NA;CDU/CSU
11003846;NA;Frank;NA;Schwabe;NA;SPD
11004029;NA;Bijan;NA;Djir-Sarai;NA;FDP
11004852;NA;Tobias;NA;Pflüger;NA;DIE LINKE
11004145;Dr.;Frithjof;NA;Schmidt;NA;BÜNDNIS 90/DIE GRÜNEN
11004276;NA;Thorsten;NA;Frei;NA;CDU/CSU
11004886;NA;Martin;NA;Schulz;NA;SPD
11003608;Dr.;Joachim;NA;Pfeiffer;NA;CDU/CSU
