session_id;speech_id;speaker_id
19_1;ID19100100;11002190
19_1;ID19100200;11002190
19_1;ID19100300;11003218
19_1;ID19100400;11004662
19_1;ID19100500;11003790
19_1;ID19100600;11003541
19_1;ID19100700;11004023
19_1;ID19100800;11003764
19_1;ID19100900;11001074
19_1;ID19101000;11002190
19_1;ID19101100;11001938
19_1;ID19101200;11002190
19_1;ID19101300;11002190
19_1;ID19101400;11003124
19_1;ID19101500;11003820
19_1;ID19101600;11001235
19_1;ID19101700;11003206
19_1;ID19101800;11003212
19_1;ID19101900;11002190
19_2;ID19200100;11003541
19_2;ID19200200;11003218
19_2;ID19200300;11004662
19_2;ID19200400;11004023
19_2;ID19200500;11003790
19_2;ID19200600;11003764
19_2;ID19200700;11004092
19_2;ID19200800;11004226
19_2;ID19200900;11004842
19_2;ID19201000;11004798
19_2;ID19201100;11004361
19_2;ID19201200;11004217
19_2;ID19201300;11004050
19_2;ID19201400;11004438
19_2;ID19201500;11004018
19_2;ID19201600;11003755
19_2;ID19201700;11004092
19_2;ID19201800;11004781
19_2;ID19201900;11003802
19_2;ID19202000;11003746
19_2;ID19202100;11004106
19_2;ID19202200;11003821
19_2;ID19202300;11003755
19_2;ID19202400;11004092
19_2;ID19202500;11004724
19_2;ID19202600;11004798
19_2;ID19202700;11003763
19_2;ID19202800;11003246
19_2;ID19202900;11004048
19_2;ID19203000;11003055
19_2;ID19203100;11003710
19_2;ID19203200;11004846
19_2;ID19203300;11004906
19_2;ID19203400;11004181
19_2;ID19203500;11004066
19_2;ID19203600;11004357
19_2;ID19203700;11004362
19_2;ID19203800;11003055
19_2;ID19203900;11003846
19_2;ID19204000;11004846
19_2;ID19204100;11004029
19_2;ID19204200;11004852
19_2;ID19204300;11004145
19_2;ID19204400;11004276
19_2;ID19204500;11004018
19_2;ID19204600;11004886
19_2;ID19204700;11003608
19_2;ID19204800;11004695
19_2;ID19204900;11004746
19_2;ID19205000;11003753
19_2;ID19205100;11004085
19_2;ID19205200;11003796
19_2;ID19205300;11003896
19_2;ID19205400;11004751
19_2;ID19205500;11004339
19_2;ID19205600;11004318
19_2;ID19205700;11004398
19_2;ID19205800;
19_2;ID19205900;11003218
19_2;ID19206000;11004932
19_2;ID19206100;11004705
19_2;ID19206200;11004817
19_2;ID19206300;11004070
19_2;ID19206400;11002738
19_2;ID19206500;11003196
19_2;ID19206600;11003608
19_2;ID19206700;11004669
19_2;ID19206800;11004864
19_2;ID19206900;11004080
19_2;ID19207000;11003493
19_2;ID19207100;11004264
19_2;ID19207200;11004930
19_2;ID19207300;11003826
19_2;ID19207400;11003545
19_2;ID19207500;11003530
19_2;ID19207600;11004060
19_2;ID19207700;11003889
19_2;ID19207800;11002280
19_2;ID19207900;11004605
19_2;ID19208000;11004018
19_2;ID19208100;11004675
19_2;ID19208200;11004018
19_2;ID19208300;11004186
19_2;ID19208400;11004135
19_2;ID19208500;11003797
19_2;ID19208600;11004725
19_2;ID19208700;11004003
19_2;ID19208800;11004072
19_2;ID19208900;11004311
19_2;ID19209000;11003588
19_2;ID19209100;11004139
19_2;ID19209200;11004081
19_2;ID19209300;11004440
19_2;ID19209400;11002672
19_2;ID19209500;11004752
19_2;ID19209600;11004786
19_2;ID19209700;11004672
19_2;ID19209800;11003780
19_2;ID19209900;11004442
19_3;ID19300100;11004092
19_3;ID19300200;11003732
19_3;ID19300300;11004807
19_3;ID19300400;11004075
19_3;ID19300500;11004022
19_3;ID19300600;11004145
19_3;ID19300700;11004662
19_3;ID19300800;11004022
19_3;ID19300900;11004048
19_3;ID19301000;11003755
19_3;ID19301100;11004092
19_3;ID19301200;11004843
19_3;ID19301300;11004798
19_3;ID19301400;11004093
19_3;ID19301500;11003881
19_3;ID19301600;11004050
19_3;ID19301700;11002765
19_3;ID19301800;11003599
19_3;ID19301900;11004724
19_3;ID19302000;11004798
19_3;ID19302100;11003746
19_3;ID19302200;11003881
19_3;ID19302300;11004383
19_3;ID19302400;11003732
19_3;ID19302500;11004735
19_3;ID19302600;11004068
19_3;ID19302700;11004296
19_3;ID19302800;11004182
19_3;ID19302900;11004291
19_3;ID19303000;11003589
19_3;ID19303100;11004698
19_3;ID19303200;11004175
19_3;ID19303300;11004837
19_3;ID19303400;11004857
19_3;ID19303500;11004056
19_3;ID19303600;11004079
19_3;ID19303700;11004662
19_3;ID19303800;11004049
19_3;ID19303900;11003782
19_3;ID19304000;11004175
19_3;ID19304100;11001023
19_3;ID19304200;11004243
19_3;ID19304300;11003589
19_3;ID19304400;11004182
19_3;ID19304500;11004688
19_3;ID19304600;11004065
19_3;ID19304700;11003211
19_3;ID19304800;11004722
19_3;ID19304900;11004910
19_3;ID19305000;11003756
19_3;ID19305100;11004143
19_3;ID19305200;11004267
19_3;ID19305300;11004143
19_3;ID19305400;11004063
19_4;ID19400100;11004256
19_4;ID19400200;11004068
19_4;ID19400300;11004842
19_4;ID19400400;11004798
19_4;ID19400500;11003790
19_4;ID19400600;11004798
19_4;ID19400700;11004181
19_4;ID19400800;11004255
19_4;ID19400900;11004036
19_4;ID19401000;11004359
19_4;ID19401100;11004050
19_4;ID19401200;11004714
19_4;ID19401300;11003802
19_4;ID19401400;11004361
19_4;ID19401500;11003246
19_4;ID19401600;11004048
19_4;ID19401700;11003732
19_4;ID19401800;11004182
19_4;ID19401900;11004813
19_4;ID19402000;11004798
19_4;ID19402100;11004759
19_4;ID19402200;11003246
19_4;ID19402300;11004018
19_4;ID19402400;11003732
19_4;ID19402500;11003821
19_4;ID19402600;11004900
19_4;ID19402700;11004798
19_4;ID19402800;11004852
19_4;ID19402900;11004217
19_4;ID19403000;11004276
19_4;ID19403100;11004826
19_4;ID19403200;11004050
19_4;ID19403300;11004777
19_4;ID19403400;11004075
19_4;ID19403500;11003746
19_4;ID19403600;11004067
19_4;ID19403700;11004362
19_4;ID19403800;11003763
19_4;ID19403900;11004050
19_4;ID19404000;11004378
19_4;ID19404100;11004807
19_4;ID19404200;11004798
19_4;ID19404300;11004255
19_4;ID19404400;11004152
19_4;ID19404500;11004921
19_4;ID19404600;11004740
19_4;ID19404700;11004060
19_4;ID19404800;11004048
19_4;ID19404900;11004272
19_4;ID19405000;11004276
19_4;ID19405100;11004442
19_4;ID19405200;11003608
19_4;ID19405300;11004787
19_4;ID19405400;11004763
19_4;ID19405500;11004103
19_4;ID19405600;11004830
19_4;ID19405700;11004696
19_4;ID19405800;11003865
19_4;ID19405900;11004270
19_4;ID19406000;11004668
19_4;ID19406100;11004703
19_4;ID19406200;11004138
19_4;ID19406300;11004061
19_4;ID19406400;11004603
19_4;ID19406500;11004304
19_4;ID19406600;11004175
19_4;ID19406700;11003865
19_4;ID19406800;11004270
19_4;ID19406900;11004678
19_4;ID19407000;11004851
19_4;ID19407100;11004114
19_4;ID19407200;11004123
19_4;ID19407300;11004427
19_4;ID19407400;11004057
19_4;ID19407500;11004427
19_4;ID19407600;11004267
19_4;ID19407700;11003034
19_4;ID19407800;11004098
19_4;ID19407900;11003753
19_4;ID19408000;11004098
19_4;ID19408100;11004392
19_4;ID19408200;11004791
19_4;ID19408300;11004914
19_4;ID19408400;11004263
19_4;ID19408500;11004439
19_4;ID19408600;11004039
19_4;ID19408700;11003255
19_4;ID19408800;11004215
19_4;ID19408900;11004269
19_4;ID19409000;11003576
19_4;ID19409100;11004269
19_4;ID19409200;11003797
19_4;ID19409300;11004858
19_4;ID19409400;11004894
19_4;ID19409500;11004215
19_4;ID19409600;11004894
19_4;ID19409700;11003853
19_4;ID19409800;11003596
19_4;ID19409900;11003797
19_4;ID19410000;11003596
19_4;ID19410100;11004215
19_4;ID19410200;11003596
19_4;ID19410300;11004287
19_5;ID19500100;11004105
19_5;ID19500200;11004441
19_5;ID19500300;11004105
19_5;ID19500400;11004698
19_5;ID19500500;11004105
19_5;ID19500600;11004175
19_5;ID19500700;11004105
19_5;ID19500800;11001023
19_5;ID19500900;11004105
19_5;ID19501000;11004857
19_5;ID19501100;11004105
19_5;ID19501200;11004342
19_5;ID19501300;11004105
19_5;ID19501400;11004748
19_5;ID19501500;11004105
19_5;ID19501600;11004907
19_5;ID19501700;11004105
19_5;ID19501800;11004801
19_5;ID19501900;11004105
19_5;ID19502000;11004034
19_5;ID19502100;11004105
19_5;ID19502200;11004905
19_5;ID19502300;11004105
19_5;ID19502400;11004396
19_5;ID19502500;11004105
19_5;ID19502600;11004329
19_5;ID19502700;11004105
19_5;ID19502800;11004175
19_5;ID19502900;11004105
19_5;ID19503000;11003764
19_5;ID19503100;11004105
19_5;ID19503200;11004023
19_5;ID19503300;11004105
19_5;ID19503400;11003756
19_5;ID19503500;11004105
19_5;ID19503600;11004798
19_5;ID19503700;11004105
19_5;ID19503800;11004433
19_5;ID19503900;11004010
19_5;ID19504000;11004846
19_5;ID19504100;11004906
19_5;ID19504200;11004022
19_5;ID19504300;11004145
19_5;ID19504400;11004018
19_5;ID19504500;11001434
19_5;ID19504600;11004357
19_5;ID19504700;11004846
19_5;ID19504800;11004029
19_5;ID19504900;11004181
19_5;ID19505000;11004106
19_5;ID19505100;11004068
19_5;ID19505200;11003541
19_5;ID19505300;11003218
19_5;ID19505400;11004778
19_5;ID19505500;11004023
19_5;ID19505600;11003790
19_5;ID19505700;11003764
19_5;ID19505800;11004662
19_5;ID19505900;11003764
19_5;ID19506000;11004731
19_5;ID19506100;11003589
19_5;ID19506200;11004164
19_5;ID19506300;11004796
19_5;ID19506400;11004088
19_5;ID19506500;11004070
19_5;ID19506600;11004441
19_5;ID19506700;11004259
19_5;ID19506800;11004905
19_5;ID19506900;11004034
19_5;ID19507000;11004391
19_5;ID19507100;11004305
19_5;ID19507200;11003196
19_5;ID19507300;11001074
19_5;ID19507400;11004863
19_5;ID19507500;11004796
19_5;ID19507600;11004288
19_5;ID19507700;11003132
19_5;ID19507800;11004100
19_5;ID19507900;11004248
19_5;ID19508000;11004427
19_5;ID19508100;11004724
19_5;ID19508200;11004149
19_5;ID19508300;11004257
19_5;ID19508400;11004908
19_5;ID19508500;11001023
19_5;ID19508600;11004243
19_5;ID19508700;11004342
19_5;ID19508800;11004858
19_5;ID19508900;11004342
19_5;ID19509000;11004282
19_5;ID19509100;11003856
19_5;ID19509200;11004021
19_5;ID19509300;11003157
19_5;ID19509400;11004675
19_5;ID19509500;11003856
19_5;ID19509600;11004675
19_5;ID19509700;11003858
19_5;ID19509800;11003837
19_5;ID19509900;11004280
19_5;ID19510000;11003545
19_5;ID19510100;11003784
19_5;ID19510200;11004865
19_5;ID19510300;11004192
19_5;ID19510400;11004392
19_5;ID19510500;11004080
19_5;ID19510600;11004392
19_5;ID19510700;11004856
19_5;ID19510800;11004179
19_5;ID19510900;11004117
19_5;ID19511000;11004365
19_5;ID19511100;11003440
19_5;ID19511200;11004398
19_5;ID19511300;11004127
19_5;ID19511400;11004110
19_5;ID19511500;11003050
19_5;ID19511600;11004761
19_5;ID19511700;11004914
19_5;ID19511800;11004817
19_5;ID19511900;11002738
19_5;ID19512000;11004603
19_5;ID19512100;11004271
19_6;ID19600100;11004247
19_6;ID19600200;11004370
19_6;ID19600300;11004247
19_6;ID19600400;11004764
19_6;ID19600500;11004247
19_6;ID19600600;11004272
19_6;ID19600700;11004247
19_6;ID19600800;11004188
19_6;ID19600900;11004247
19_6;ID19601000;11004652
19_6;ID19601100;11004247
19_6;ID19601200;11004030
19_6;ID19601300;11004247
19_6;ID19601400;11004859
19_6;ID19601500;11004247
19_6;ID19601600;11004771
19_6;ID19601700;11004247
19_6;ID19601800;11004910
19_6;ID19601900;11004247
19_6;ID19602000;11004660
19_6;ID19602100;11004247
19_6;ID19602200;11004255
19_6;ID19602300;11004247
19_6;ID19602400;11004116
19_6;ID19602500;11004247
19_6;ID19602600;11004753
19_6;ID19602700;11004247
19_6;ID19602800;11004150
19_6;ID19602900;11004247
19_6;ID19603000;11004613
19_6;ID19603100;11004247
19_6;ID19603200;11004773
19_6;ID19603300;11004247
19_6;ID19603400;11004753
19_6;ID19603500;11004247
19_6;ID19603600;11004910
19_6;ID19603700;11004247
19_6;ID19603800;11004722
19_6;ID19603900;11004247
19_6;ID19604000;11004754
19_6;ID19604100;11003527
19_6;ID19604200;11004705
19_6;ID19604300;11003638
19_7;ID19700100;11003514
19_7;ID19700200;11004404
19_7;ID19700300;11004728
19_7;ID19700400;11004754
19_7;ID19700500;11004823
19_7;ID19700600;11003772
19_7;ID19700700;11003527
19_7;ID19700800;11004033
19_7;ID19700900;11004725
19_7;ID19701000;11004384
19_7;ID19701100;11004393
19_7;ID19701200;11001074
19_7;ID19701300;11003440
19_7;ID19701400;11004905
19_7;ID19701500;11004140
19_7;ID19701600;11003206
19_7;ID19701700;11003132
19_7;ID19701800;11003516
19_7;ID19701900;11004698
19_7;ID19702000;11004441
19_7;ID19702100;11004802
19_7;ID19702200;11004796
19_7;ID19702300;11001023
19_7;ID19702400;11004243
19_7;ID19702500;11004342
19_7;ID19702600;11004257
19_7;ID19702700;11003573
19_7;ID19702800;11004881
19_7;ID19702900;11004781
19_7;ID19703000;11003802
19_7;ID19703100;11003858
19_7;ID19703200;11003889
19_7;ID19703300;11004302
19_7;ID19703400;11004614
19_7;ID19703500;11003858
19_7;ID19703600;11004614
19_7;ID19703700;11004932
19_7;ID19703800;11004427
19_7;ID19703900;11004605
19_7;ID19704000;11004349
19_7;ID19704100;11004789
19_7;ID19704200;11004107
19_7;ID19704300;11004410
19_7;ID19704400;11004888
19_7;ID19704500;11003853
19_7;ID19704600;11004215
19_7;ID19704700;11004250
19_7;ID19704800;11003753
19_7;ID19704900;11003639
19_7;ID19705000;11004328
19_7;ID19705100;11004727
19_7;ID19705200;11004705
19_7;ID19705300;11004127
19_7;ID19705400;11002738
19_7;ID19705500;11004771
19_7;ID19705600;11004659
19_7;ID19705700;11003734
19_7;ID19705800;11003847
19_7;ID19705900;11004792
19_7;ID19706000;11004929
19_7;ID19706100;11004672
19_7;ID19706200;11004339
19_7;ID19706300;11004393
19_7;ID19706400;11004753
19_7;ID19706500;11004116
19_7;ID19706600;11004844
19_7;ID19706700;11004910
19_7;ID19706800;11004111
19_7;ID19706900;11004395
19_7;ID19707000;11003216
19_7;ID19707100;11004164
19_7;ID19707200;11004859
19_7;ID19707300;11004336
19_7;ID19707400;11004257
19_7;ID19707500;11004441
19_7;ID19707600;11004049
19_7;ID19707700;11004272
19_7;ID19707800;11004905
19_7;ID19707900;11004175
19_7;ID19708000;11004385
19_7;ID19708100;11004353
19_7;ID19708200;11004149
19_7;ID19708300;11004710
19_7;ID19708400;11003589
19_7;ID19708500;11004690
19_7;ID19708600;11004040
19_7;ID19708700;11004355
19_7;ID19708800;11004707
19_7;ID19708900;11003853
19_7;ID19709000;11003604
19_7;ID19709100;11003832
